[hour]|[Temp]
[0]|[118.4F]

[1]|[120.2F]

[2]|[122F]

[3]|[123.8F]

[4]|[125.6F]

[5]|[127.4F]

[6]|[129.2F]

[7]|[131F]

[8]|[132.8F]

[9]|[134.6F]

[10]|[136.4F]

[11]|[138.2F]

[12]|[140F]

[13]|[141.8F]

[14]|[143.6F]

[15]|[145.4F]

[16]|[147.2F]

[17]|[149F]

[18]|[150.8F]

[19]|[152.6F]

[20]|[154.4F]

[21]|[156.2F]

[22]|[158F]

[23]|[159.8F]

[0]|[161.6F]

[1]|[163.4F]

[2]|[165.2F]

[3]|[167F]

[4]|[168.8F]

[5]|[170.6F]

[6]|[172.4F]

[7]|[174.2F]

[8]|[176F]

[9]|[177.8F]

[10]|[179.6F]

[11]|[181.4F]

[12]|[183.2F]

[13]|[185F]

[14]|[186.8F]

[15]|[188.6F]

[16]|[190.4F]

[17]|[192.2F]

[18]|[194F]

[19]|[195.8F]

[20]|[197.6F]

[21]|[199.4F]

[22]|[201.2F]

[23]|[203F]

[0]|[204.8F]

[1]|[206.6F]

